1 - Country: Argentina 	 Elo: 1681
183 - Country: Antigua and Barbuda 	 Elo: 674
184 - Country: American Samoa 	 Elo: 669
185 - Country: Bangladesh 	 Elo: 664
186 - Country: Myanmar 	 Elo: 648
187 - Country: Nepal 	 Elo: 639
188 - Country: Djibouti 	 Elo: 636
189 - Country: Cayman Islands 	 Elo: 625
190 - Country: British Virgin Islands 	 Elo: 622
191 - Country: Cambodia 	 Elo: 617
192 - Country: Taiwan 	 Elo: 607
193 - Country: Guam 	 Elo: 606
194 - Country: Gibraltar 	 Elo: 595.4
195 - Country: Maldives 	 Elo: 589
196 - Country: Andorra 	 Elo: 580
197 - Country: Mongolia 	 Elo: 575
198 - Country: Sri Lanka 	 Elo: 574
199 - Country: Pakistan 	 Elo: 571
200 - Country: Turks and Caicos Islands 	 Elo: 548
201 - Country: Anguilla 	 Elo: 544
202 - Country: Bahamas 	 Elo: 540
203 - Country: Seychelles 	 Elo: 529
204 - Country: United States Virgin Islands 	 Elo: 520
205 - Country: Laos 	 Elo: 492
206 - Country: Brunei 	 Elo: 481
207 - Country: Timor-Leste 	 Elo: 470.79999999999995
208 - Country: Liechtenstein 	 Elo: 445
209 - Country: Macau 	 Elo: 429
210 - Country: Bhutan 	 Elo: 420
211 - Country: San Marino 	 Elo: 368
